,Date,User,Content,ReplyCount,RetweetCount,LikeCount,QuoteCount,TweetID,Sentiment
0,2022-04-30 20:00:00+00:00,PrimeVideo,My significant other said “It’s either watching The Wilds or me.” I’m really gonna miss them.,12,35,527,4,1520493190901428226,-0.0202
1,2022-04-29 20:00:29+00:00,PrimeVideo,"Some films old enough to drink this year: Shrek, Donnie Darko, and Training Day.",15,19,249,6,1520130922045181954,0.0
2,2022-04-29 18:30:03+00:00,amazon,Consider this a sign to “Add to Cart.”,144,27,316,23,1520108164598972418,0.0
3,2022-04-29 02:59:00+00:00,amazonmusic,Do you stay up til midnight every Thursday night for new music or are you normal?,17,8,52,4,1519873858333024261,0.0
4,2022-04-28 20:15:54+00:00,amazon,Prime Day is back this July! Dream deals coming your way!,105,93,633,48,1519772413860278272,0.3786
5,2022-04-28 16:00:00+00:00,amazonfiretv,"If you could have any super hero’s powers for one day, who’s would you choose? 🦸 🦸‍♀️ #NationalSuperheroDay",2,0,3,0,1519708017083797504,0.5994
6,2022-04-28 14:05:00+00:00,PrimeVideo,Who’s your favorite superhero of all time?,1372,101,1341,229,1519679075220082695,0.4588
7,2022-04-28 04:19:16+00:00,PrimeVideo,Season 2 of @thewildsonprime drops on May 6th. In case you forgot. 🙃,47,126,1157,24,1519531670986051584,0.0
8,2022-04-26 19:00:00+00:00,amazon,Wishing upon a star &lt; Making a five star worthy Wish List ⭐️⭐️⭐️⭐️⭐️,140,30,218,11,1519028537491177477,0.7579
9,2022-04-25 22:14:05+00:00,alexa99,Here's your Flash Briefing: The racing pigeon that went for $1.9M is no longer the most expensive bird. #twittersold,5,13,88,3,1518714994677850112,-0.296
10,2022-04-25 19:00:00+00:00,amazonfiretv,[Fill in the blank] My favorite app on Fire TV is _________. 📺 🧡,5,1,4,0,1518666150636400641,0.7003
