,Date,User,Content,ReplyCount,RetweetCount,LikeCount,QuoteCount,TweetID,Sentiment
0,2022-04-27 18:00:22+00:00,AppleTVPlus,"Episode 7 of #Roar, The Woman Who Returned Her Husband, features @MeeraSyal as a wife who finds herself unsatisfied in her marriage, and decides to return her husband to the store. Read an excerpt below. ⬇️",3,4,34,2,1519375919667765248,-0.4019
1,2022-04-27 16:35:00+00:00,AppleArcade,"It's What the Golf? Wednesday!

Or is it World's End Club Wednesday?

Wait, or maybe, Wylde Flowers Wednesday...

World of Demons Wednesday!

We can't decide. Apparently, we have a lot of games that start with W.",3,2,36,0,1519354436694556672,0.0
2,2022-04-26 23:22:21+00:00,AppleTVPlus,".            “The We We Are” 
    An excerpt from #Severance
                 Episode 109

        Written by Dan Erickson",5,11,128,3,1519094563373150208,0.0
3,2022-04-25 17:04:26+00:00,AppleTVPlus,"Take a peek behind the scenes of #Roar, and you’ll find a largely women-led team. Hear the cast weigh in on the importance of a female driven show. ⬇️",2,4,32,1,1518637067667841026,0.3612
4,2022-04-22 22:02:16+00:00,AppleTVPlus,"Each episode of #Roar features trials unique to women… with a twist. 

Episode 5, “The Woman Who Was Fed By a Duck”, stars Merritt Wever and a talking duck named Larry. Read an excerpt below. ⬇️",4,1,39,0,1517624855595601920,0.0
5,2022-04-21 20:59:20+00:00,AppleTVPlus,".         “Checkmate”
An excerpt from #SlowHorses Episode 105
          Written by Will Smith

INT. REGENT'S PARK - TAVERNER'S OFFICE - NIGHT",2,9,49,1,1517246628830212096,0.0
6,2022-04-20 18:03:40+00:00,AppleTVPlus,"Taking a deeper look at the animation behind #CentralParkTV with Art Director, Tim Barnes. ⬇️",1,4,44,0,1516840034724245508,0.0
7,2022-04-20 16:35:00+00:00,AppleArcade,"just playing 200+ games, nbd.",14,6,121,2,1516817720658042883,0.4767
8,2022-04-19 18:15:00+00:00,AppleArcade,"┻┳| 
┳┻| 
┻┳| 
┳┻|^^^ 
┻┳| •o• )   Psst...
┳┻|⊂ﾉ       You should play some
┻┳|           Sneaky Sasquatch",5,5,57,2,1516480500638130183,0.128
9,2022-04-18 19:00:11+00:00,AppleTVPlus,"Each episode of the anthology series, #Roar, tells a unique story rooted in the female perspective. Co-creators, Liz Flahive and Carly Mensch, give insight into their favorite moments within each episode. ⬇️",2,10,61,1,1516129480728727554,0.4588
10,2022-04-18 16:35:00+00:00,AppleArcade,"We would like to formally offer endless bragging rights to anyone who can guess the game from this single word:

dysentery.",24,5,73,2,1516092945954443270,0.3612
11,2022-04-17 13:51:15+00:00,tim_cook,"Wishing a Happy Easter to all those celebrating! May today remind us of the power of renewal, kindness, and our shared humanity. 🌷",384,751,11177,46,1515689349035216899,0.9324
12,2022-04-15 21:48:56+00:00,tim_cook,I hope your seder table is full and conversations are meaningful tonight. Chag Pesach Sameach to all celebrating the story of Passover! 🍷🫓,175,297,4837,11,1515084787580432386,0.8478
13,2022-04-13 17:30:00+00:00,AppleArcade,🧵 Choose your #Sonic Dash+ character!,4,2,33,0,1514294847267655683,0.0
14,2022-04-08 22:04:02+00:00,AppleTVPlus,".        “What’s For Dinner?”
An excerpt from #Severance Episode 108

         Written by Chris Black",3,12,142,1,1512551872644624384,0.0
