,Date,User,Content,ReplyCount,RetweetCount,LikeCount,QuoteCount,TweetID,Sentiment
0,2022-04-30 17:00:00+00:00,GooglePlay,Are arcade tokens the original gaming microtransaction? 🤔,32,7,122,1,1520447891097239553,0.3182
1,2022-04-29 21:00:00+00:00,YouTube,drop videos of your favorite creators #DancingOnShorts for International Dance Day 💃🏽💃🏿💃🏼💃🏾💃🏻,222,70,992,12,1520145901301514246,0.2263
2,2022-04-29 18:30:57+00:00,Google,What’s your favorite anonymous animal in @GoogleDocs?,156,50,811,12,1520108391032659968,0.4588
3,2022-04-27 20:57:05+00:00,YouTube,choose your self-care,366,122,1146,26,1519420392791699457,0.0
4,2022-04-27 19:49:22+00:00,Google,"Song *exists*
Me: #HeyGoogle, what song is this?",149,122,1788,12,1519403349833097216,0.0
5,2022-04-27 17:00:00+00:00,GooglePlay,Imagine if you still needed coins to game like in the arcade days. Which mobile games would you be devoting most of your spare change to?,35,9,97,3,1519360728637059073,0.6808
6,2022-04-26 19:56:05+00:00,YouTube,soup twitter: it’s your time to shine!  🥣✨ what’s the best soup of all time??,437,128,1348,48,1519042651592429568,0.7993
7,2022-04-26 17:46:15+00:00,Google,"Writing a haiku
* searches how to write haiku *
Life pre-Search? Tough times.

You’re up next 🔽 #NationalPoetryMonth",71,58,553,7,1519009977993678849,-0.128
8,2022-04-25 06:03:30+00:00,YouTube,GONNA CRY LAST #COACHELLA 2022 SET 😭😭😭😭😭 @SWEDISHOUSEMFIA @THEWEEKND,195,170,2129,15,1518470737996222464,-0.9603
9,2022-04-25 05:06:00+00:00,YouTube,.@DojaCat continues to be THAT artist 😭🔥 #coachella,149,365,4286,24,1518456269341921281,-0.6705
10,2022-04-24 23:00:01+00:00,YouTube,i don't want #coachella to end  🥺🥺🥺🥺,251,106,1734,19,1518364163298451458,-0.0572
11,2022-04-24 06:33:54+00:00,YouTube,still can't process that @billieeilish's the youngest headliner ever 😭 proud of you Billie!!! #coachella,147,101,1217,7,1518115998997663745,0.0
12,2022-04-24 05:14:28+00:00,YouTube,i'm sorry................. @aespa_official???????!!!!! DREAMS DO COME TRUE @88rising #coachella #aespaCoachella #88rising,359,8922,33718,433,1518096010068873217,0.8688
13,2022-04-24 03:00:00+00:00,YouTube,tfw your favorite artist comes on the livestream 😌 #coachella,113,183,1095,9,1518062170130505729,0.6808
14,2022-04-23 21:00:00+00:00,YouTube,which creator would be the ultimate special guest in a #coachella set?? 🤩,296,91,1167,5,1517971575252959233,0.4696
15,2022-04-23 17:00:00+00:00,GooglePlay,What is your go-to gaming snack? We could always use some foodie inspo. 🍇🥕🧀,33,6,96,2,1517911178240045057,0.0
16,2022-04-23 07:29:17+00:00,YouTube,losing my voice screaming bc @LIZZO &amp; @HARRY_STYLES!!!!!!!!!!!!!!!!!!!!!!! #coachella,87,87,1046,2,1517767552465883136,-0.7482
17,2022-04-23 06:45:00+00:00,YouTube,.@Harry_Styles' dance moves got me like 🥹🥹🥹 #coachella,119,1580,12545,65,1517756405377347584,0.3612
18,2022-04-23 05:17:54+00:00,YouTube,every time @Anitta sings in Portuguese i just 😭😭😭 #coachella,175,635,5469,16,1517734487651762177,-0.8519
19,2022-04-22 22:00:00+00:00,YouTube,which creators would you invite to your #coachella weekend two livestream party?? 🤔,208,79,1195,6,1517624285598261249,0.5661
