,Date,User,Content,ReplyCount,RetweetCount,LikeCount,QuoteCount,TweetID,Sentiment
0,2022-04-29 20:40:25+00:00,jack,"I have tried taking a break from Twitter recently, but I must say: the company has always tried to do its best given the information it had. Every decision we made was ultimately my responsibility*. In the cases we were wrong or went too far, we admitted it and worked to correct.",13496,4526,39750,2912,1520140974801924096,0.5023
1,2022-04-23 20:48:56+00:00,jack,hi,11961,5016,111598,2323,1517968787609333760,0.0
2,2022-04-17 00:22:58+00:00,jack,🌕,3194,2057,24846,596,1515485936297070594,0.0
3,2022-04-12 21:33:05+00:00,jack,🫂,2261,941,11514,204,1513993634336673796,0.0
4,2022-04-07 21:23:02+00:00,jack,thank you @jackmallers. you're an incredible inspiration.,589,1296,16669,77,1512179163825938435,0.7346
5,2022-04-02 17:53:40+00:00,jack,"the days of usenet, irc, the web...even email (w PGP)...were amazing. centralizing discovery and identity into corporations really damaged the internet.

I realize I'm partially to blame, and regret it.",6098,12760,81093,4236,1510314535671922689,-0.5563
6,2022-04-01 17:50:07+00:00,Twitter,we are working on an edit button,64339,120904,1349530,133847,1509951255388504066,0.0
7,2022-03-31 19:52:01+00:00,TwitterCreators,met gala behavior,5,6,72,6,1509619544087838725,0.0
8,2022-03-30 16:30:38+00:00,Twitter,you good?,62949,42898,496756,49728,1509206476874784769,0.4404
9,2022-03-28 17:55:44+00:00,TwitterCreators,I've switched baristas.,15,8,113,1,1508503116358037505,0.0
10,2022-03-28 00:21:01+00:00,TwitterCreators,imagine being the creative director for BEYONCÉ,14,17,124,2,1508237690969415681,0.4404
11,2022-03-24 19:33:01+00:00,TwitterCreators,It's friday eve.,8,37,168,2,1507078046108499968,0.0
12,2022-03-18 18:31:46+00:00,TwitterSupport,"When you want to keep up with Tweets but don’t want to be overwhelmed with notification after notification after notification after...

On Android, ""Tweets from people you follow"" push alerts will now be silent by default. You can turn the alert sounds on in your device settings.",655,230,4731,46,1504888304923201541,0.5719
13,2022-03-16 19:32:27+00:00,TwitterCreators,are you the Tweet sender or the Tweet receiver?,56,14,120,15,1504178801416232963,0.0
14,2022-03-15 19:27:40+00:00,TwitterSupport,"We know video uploads have been slow for some of you on Android. To fix that, we’ve improved how we process some of them.

Now it should be faster to share videos (720p or lower) on Android 9+ –– less waiting, more Tweeting while we work on the same for higher quality videos.",497,260,865,43,1503815211236708357,0.4767
15,2022-03-10 22:42:27+00:00,TwitterCreators,you can close those tabs.,27,23,291,27,1502052289149906980,0.0
16,2022-02-26 16:51:46+00:00,TwitterSupport,We’re aware that Twitter is being restricted for some people in Russia and are working to keep our service safe and accessible.,975,2651,12084,412,1497615384169566215,0.0772
17,2022-02-25 20:49:11+00:00,TwitterSupport,"The option to add one-time sensitive content warnings to photos and videos you Tweet is now available for everyone across Android, iOS, and web.

To add a content warning, tap the flag icon when editing the photo/video after you've attached it to your Tweet.",443,611,1519,134,1497312745557049345,-0.5574
18,2022-02-17 19:01:44+00:00,Twitter,we asked the engineers if we could pin a DM and they said NO! YOU CAN PIN SIX!,4153,4497,46908,2008,1494386599781675015,0.0
19,2022-02-16 20:09:57+00:00,Twitter,laughing but crying,3923,14096,94450,2422,1494041377583337473,-0.4678
20,2022-02-14 17:21:45+00:00,TwitterCreators,if you can't handle me at my Twitter you don't deserve me at my best,20,73,224,6,1493274274437730306,0.6369
21,2022-02-14 01:01:53+00:00,Twitter,this Tweet is our Super Bowl commercial,1949,3537,47621,274,1493027682795335680,0.5994
22,2022-02-11 18:14:55+00:00,TwitterSupport,We’ve fixed a technical bug that was preventing timelines from loading and Tweets from posting. Things should be back to normal now. Sorry for the interruption!,1518,2455,12721,1015,1492200491769597960,-0.4926
23,2022-02-11 12:55:37+00:00,Twitter,"oh good you're up, here are a million Tweets to look at",3216,4802,60224,475,1492120137205526528,0.4404
24,2022-02-10 19:11:54+00:00,TwitterCreators,second base is actually when your crush finds your Twitter,13,29,170,7,1491852445546434564,-0.1531
25,2022-02-08 22:39:54+00:00,TwitterCreators,the Tweet that deserves an Oscar,18,15,87,2,1491180013504266240,0.0
26,2022-02-08 16:13:31+00:00,Twitter,"you ever think about Fleets? 
same.",12174,12613,120942,25502,1491082777021792262,0.0
27,2022-02-08 00:13:39+00:00,jack,⚡️,2514,2356,29329,449,1490841218795905025,0.0
28,2022-02-03 20:02:46+00:00,TwitterSupport,"For when you want to reply directly to a Tweet's author, we're making it easier to DM them from your timeline to start a conversation.

Now testing a DM icon on Tweets with some of you on iOS.",2436,297,1298,3344,1489328529133211651,0.4767
29,2022-02-01 21:05:00+00:00,TwitterSupport,Put the NEW Twitter Toolbox to work for you. These ready-to-use tools are low-cost and built by our developer community to help you get even more out of Twitter.,187,161,529,63,1488619414584922116,0.4019
30,2022-01-21 02:31:51+00:00,TwitterSupport,Twitter may not have been working as expected for some of you over the past few hours. We've fixed a technical bug that was affecting how Tweets get routed to our backend systems –– things should be back to normal now. Sorry for the interruption!,1129,579,2138,300,1484353015297372168,-0.4753
31,2022-01-20 18:46:54+00:00,Twitter,"gm, looking for an nft pfp",16071,5741,52097,6613,1484236007893798912,0.0
32,2022-01-19 18:34:07+00:00,TwitterCreators,GOOTS,17,18,135,1,1483870401725935625,0.0
33,2022-01-18 22:03:10+00:00,jack,"The amount of attention @wef receives is inversely proportional to the org’s usefulness.

(it’s useless)",1558,3505,22819,956,1483560622814081025,-0.1531
34,2022-01-14 20:52:57+00:00,TwitterCreators,which creator do you Retweet the most? need some people to follow,49,9,65,4,1482093402783162374,0.0
35,2022-01-13 20:38:58+00:00,TwitterCreators,a person you follow who should host the Oscars,143,9,99,59,1481727496190111759,0.0
36,2022-01-13 17:08:13+00:00,Twitter,"2 Retweets, that's a hit",4134,16507,91207,1300,1481674458586927105,0.0
37,2022-01-12 20:25:41+00:00,TwitterCreators,"me, an empath, when absolutely anything happens: I should Tweet",11,26,145,6,1481361764038201355,0.0
38,2022-01-11 17:44:49+00:00,TwitterSupport,"Mute and block –– but now for Explore and more.

We're working on some updates so keywords you've muted and accounts you’ve muted/blocked stay out of a few more places 👇",331,359,1205,179,1480958890389000194,-0.2382
39,2022-01-11 02:11:28+00:00,jack,metric or imperial?,3389,403,6164,335,1480724006881869827,0.0
40,2022-01-11 00:36:24+00:00,TwitterCreators,deciding what to wear for the first day at euphoria high school,6,5,82,0,1480700082903293953,0.6486
41,2022-01-10 16:07:21+00:00,Twitter,may your Tweets prosper and you never be ratioed,3699,10655,125356,1301,1480571976414543875,0.0
42,2022-01-04 22:02:57+00:00,jack,"Generating more energy, not less, increases quality of life for all ☢️",1500,3970,32254,695,1478487138874372102,0.3384
43,2022-01-04 18:28:43+00:00,jack,great little app: @TheStreaksApp,310,181,2609,40,1478433223306842123,0.6249
44,2022-01-03 16:14:18+00:00,jack,centralization begetts different centralization,831,994,10911,159,1478037009574858754,0.0
45,2022-01-01 21:45:08+00:00,Twitter,let's just see how this one goes,4229,20210,198000,1535,1477395490220220419,0.0
46,2022-01-01 00:00:03+00:00,jack,+1,1848,2571,29632,334,1477067054767345669,0.0
47,2021-12-31 16:02:48+00:00,Twitter,that’s a wrap on another totally normal year,2448,14299,98679,1209,1476946953518948358,0.0
48,2021-12-28 19:03:11+00:00,TwitterSupport,"Keep the best Tweets you almost Tweeted.

Drafts are removed when you log out or uninstall the app –– so before you do, save them elsewhere.",431,254,946,66,1475905182370344960,0.8126
49,2021-12-24 06:20:04+00:00,jack,rust is a perfect programming language,2226,2838,27595,1194,1474263588651126788,0.5719
50,2021-12-22 23:36:59+00:00,jack,"“we invest in software eating the world”

*web",865,1131,15141,197,1473799761438326790,0.0
51,2021-12-22 15:49:22+00:00,Twitter,just Tweeting through it,3596,8446,68541,885,1473682079921618958,0.0
52,2021-12-22 04:49:22+00:00,jack,Only truth left in the world is surf films @theSURFnetwork,715,427,5783,127,1473515987320328196,0.3182
53,2021-12-22 04:12:58+00:00,jack,"The VCs are the problem

*not the people",1858,2198,23613,823,1473506824741601288,-0.4019
54,2021-12-21 15:59:00+00:00,jack,21/12/21,2287,4932,38457,768,1473322116804079616,0.0
55,2021-12-21 03:51:24+00:00,jack,"You don’t own “web3.”

The VCs and their LPs do. It will never escape their incentives. It’s ultimately a centralized entity with a different label. 

Know what you’re getting into…",3299,7271,44172,3300,1473139010197508098,-0.357
56,2021-12-14 17:00:19+00:00,TwitterCreators,introduce yourself based on your hit Tweet,190,31,458,1761,1470800833453432839,0.0
57,2021-12-14 16:49:51+00:00,Twitter,Twitter is a book you'll never finish,4928,13863,97548,1942,1470798200152158210,0.0
58,2021-12-14 16:08:38+00:00,jack,"""transitory""",2002,3684,34518,666,1470787826346246159,0.0
59,2021-12-13 17:00:20+00:00,TwitterCreators,we are gathered here to celebrate the people who are good at Twitter,204,263,1071,122,1470438449853476870,0.765
60,2021-12-10 07:02:55+00:00,jack,it was a trap,2928,3541,30617,1654,1469200943388545025,-0.3182
61,2021-12-06 19:52:06+00:00,Twitter,"to everyone procrastinating, you've come to the right place",3386,22178,134789,3944,1467944962310426624,0.0
62,2021-12-02 16:25:06+00:00,Twitter,cheers to all the Tweets that made it to IG this year,3412,12039,118921,1352,1466443318003384325,0.4767
63,2021-11-28 07:57:21+00:00,jack,I love twitter,7796,10937,87161,5846,1464865985471471616,0.6369
64,2021-11-24 17:01:36+00:00,TwitterSupport,"Can you see this or did you get logged out? 

We're looking into a bug that's causing unexpected logouts on iOS 15. Sorry for the inconvenience and we'll keep you updated on the fix.",733,318,1325,272,1463553398234439681,-0.4215
65,2021-11-22 17:59:36+00:00,Twitter,your typo makes it original,6029,12169,108581,4392,1462843218446503940,0.3182
66,2021-11-19 08:00:00+00:00,jack,🌞,4585,1214,12034,291,1461605160325505032,0.0
67,2021-11-17 17:30:01+00:00,Twitter,"you're doing great, even if your Tweets aren't",7730,26150,153300,5925,1461023836221153286,0.6249
68,2021-11-14 05:16:17+00:00,jack,709632 🎇,1300,2084,19027,340,1459752020668153861,0.0
69,2021-11-03 17:36:36+00:00,TwitterSupport,"If you want to share your latest Instagram post on the Twitter timeline too, you’re in luck: now when you share a link to an IG post in a Tweet, it’ll show up as a card with a preview of the photo.

Rolling out on Android, iOS, and web.",663,781,2642,327,1455952061665841157,0.7717
70,2021-10-31 03:23:16+00:00,jack,apps have distracted me from just how powerful the web is,1160,2661,27394,569,1454650148911411200,0.1027
71,2021-10-30 05:53:19+00:00,jack,"is there a more honest market than Bitcoin?

(obviously I don't think so)",2882,3369,29428,559,1454325521886552073,0.5563
72,2021-10-28 22:12:31+00:00,Twitter,BIG NEWS lol jk still Twitter,7384,30280,268096,6068,1453847172794003473,0.5719
73,2021-10-28 18:24:17+00:00,jack,meta: referring to itself or to the conventions of its genre; self-referential.,1212,2771,21590,592,1453789734791090189,0.0
74,2021-10-27 21:30:11+00:00,TwitterSupport,"With some of you on Android and web, we're testing design changes to clarify how replies are organized under a Tweet.

If you're in the test, you'll see a more detailed description for the section that contains replies that are potentially spammy, harmful, or offensive. (1/2)",236,175,691,30,1453474131471699968,-0.4588
75,2021-10-23 02:15:11+00:00,jack,Hyperinflation is going to change everything. It’s happening.,7969,18407,76370,8330,1451733913961783299,0.0
76,2021-10-22 19:58:15+00:00,TwitterSupport,Some of you may have noticed that your gallery photo is deleted after posting it to Twitter on devices running Android 10 and below. We’re rolling out an app update soon to fix this.,439,597,1620,449,1451639055318458375,0.0
77,2021-10-21 17:40:24+00:00,TwitterSupport,"One more mic check...the option to host a Space is now rolling out to everyone on Android and iOS!

New to Spaces? Here’s a thread to help you out… (1/7)",163,187,661,79,1451241974695186434,0.4574
78,2021-10-20 15:58:38+00:00,jack,Central Intelligence Corporation,697,855,7811,406,1450853976602124292,0.4767
79,2021-10-20 14:01:08+00:00,jack,🌕,1693,3387,27884,446,1450824408235327493,0.0
80,2021-10-19 19:29:47+00:00,jack,705742,1924,1122,11802,465,1450544727091146752,0.0
81,2021-10-15 20:29:38+00:00,jack,"Square is considering building a Bitcoin mining system based on custom silicon and open source for individuals and businesses worldwide. If we do this, we’d follow our hardware wallet model: build in the open in collaboration with the community. First some thoughts and questions.",1900,6911,41080,1111,1449110239442345995,0.0
